"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Deve efetuar login com sucesso","backend","Sun Aug 31 02:52:40 UTC 2025","passed","Sun Aug 31 02:52:40 UTC 2025","Backend - Login","backend\login.spec.js","",""
"","4133","Deve efetuar login com sucesso","frontend-chromium","Sun Aug 31 02:52:40 UTC 2025","passed","Sun Aug 31 02:52:44 UTC 2025","Frontend - Login","frontend\login.spec.js","",""
